email,location,name,role,vnu_id,username,password,gender,phone_number
19020021@vnu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Nguyễn Văn Lào,Student,19020021,19020021,bach,male,02192155011
19020022@vnu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Trần Thị Năm,Student,19020022,19020022,bach,male,03501212752
19020023@vnu.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",John Cena,Student,19020023,19020023,bach,male,0182764291
19020024@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Đô Rê Mon,Student,19020024,19020024,bach,male,0223544128
19020025@vnu.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Nguyễn Tuấn Khải,Student,19020025,19020025,bach,male,02164224601
19020026@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Nguyễn Thị Phương Hằng,Student,19020026,19020026,bach,male,0378676173
19020027@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Ưng Hoàng Phúc,Student,19020027,19020027,bach,male,0370895424
19020028@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Tim Cook,Student,19020028,19020028,bach,male,0372022214
19020029@vnu.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Trịnh Quốc Thanh,Student,19020029,19020029,bach,male,0383848684
19020030@vnu.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Từ Nhã Mai,Student,19020030,19020030,bach,male,02192155011
19020031@vnu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Quán Công Hiếu,Student,19020031,19020031,bach,male,02192155011
19020032@vnu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Phí Quỳnh Giang,Student,19020032,19020032,bach,male,03501212752
19020033@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Yên Bảo Hà,Student,19020033,19020033,bach,male,0182764291
19020034@vnu.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",Tòng Hữu Từ,Student,19020034,19020034,bach,male,0223544128
19020035@vnu.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Hùng Thuỷ Tiên,Student,19020035,19020035,bach,male,02164224601
19020036@vnu.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Cổ Thiên Mỹ,Student,19020036,19020036,bach,male,0378676173
19020037@vnu.edu.vn,"51A Phan Bội Châu, Hoàn Kiếm - Hà Nội.",Cô Văn Nan,Student,19020037,19020037,bach,male,0370895424
19020038@vnu.edu.vn,"109 Ô Chợ Dừa - khu vực quận Đống Đa, thủ đô Hà Nội",Metro Cát Linh Hà Đông,Student,19020038,19020038,bach,male,0372022214
19020039@vnu.edu.vn,"550 Trần Khát Trân, khu vực quận Hai Bà Trưng, Hà Nội",Nguyễn Giải Khát,Student,19020039,19020039,bach,male,0383848684
19020040@vnu.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Phong Tịnh Như,Student,19020040,19020040,bach,male,02192155011
19020041@vnu.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Cổ Chí Giang,Student,19020041,19020041,bach,male,03501212752
19020042@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Chử Ánh Hoa,Student,19020042,19020042,bach,male,02192155011
19020043@vnu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Xa Nguyên Lộc,Student,19020043,19020043,bach,male,03501212752
19020044@vnu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Ca Bạch Tuyết,Student,19020044,19020044,bach,male,0182764291
19020045@vnu.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Vũ Quế Anh,Student,19020045,19020045,bach,male,0223544128
19020046@vnu.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội.",Nguyễn Phương Thảo,Student,19020046,19020046,bach,male,02164224601
19020047@vnu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Thang Phương Quỳnh,Student,19020047,19020047,bach,male,0378676173
19020048@vnu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Võ Minh Hải,Student,19020048,19020048,bach,male,0370895424
19020049@vnu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Người Nghệ An,Student,19020049,19020049,bach,male,0372022214
19020050@vnu.edu.vn,"132 Ngọ Khánh, quận Ba Đình, Hà Nội.",Người Hải Phòng,Student,19020050,19020050,bach,male,0383848684
19020051@vnu.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Mộc Đạt Hoà,Student,19020051,19020051,bach,male,02192155011
19020052@vnu.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Thanh Trúc,Student,19020052,19020052,bach,male,03501212752
19020053@vnu.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội.",Quán Công Hậu,Student,19020053,19020053,bach,male,02192155011
19020054@vnu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.","Nhan Tuấn Khải ",Student,19020054,19020054,bach,male,03501212752
19020055@vnu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Cai Tấn Trình,Student,19020055,19020055,bach,male,0182764291
19020056@vnu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Danh Minh Thư,Student,19020056,19020056,bach,male,0223544128
19020057@vnu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Khuất Thái Vân,Student,19020057,19020057,bach,male,02164224601
19020058@vnu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Dương Minh Vương,Student,19020058,19020058,bach,male,0378676173
19020059@vnu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Uông Hưng Thuỷ,Student,19020059,19020059,bach,male,0370895424
19020060@vnu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội.",Liên Phú Ân,Student,19020060,19020060,bach,male,0372022214
